VMname,RGname,subnet,nic
WIN-C-DeveloperVM01,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM01-nic01
WIN-C-DeveloperVM02,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM02-nic01
WIN-C-DeveloperVM03,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM03-nic01
WIN-C-DeveloperVM04,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM04-nic01
WIN-C-DeveloperVM05,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM05-nic01
WIN-C-DeveloperVM06,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM06-nic01
WIN-C-DeveloperVM07,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM07-nic01
WIN-C-DeveloperVM09,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM09-nic01
WIN-C-DeveloperVM10,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM10-nic01
WIN-C-DeveloperVM11,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM11-nic01
WIN-C-DeveloperVM12,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM12-nic01
WIN-C-DeveloperVM13,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM13-nic01
WIN-C-DeveloperVM14,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM14-nic01
WIN-C-DeveloperVM15,Network-Corp-rg,/subscriptions/738ed618-66b1-437e-a2af-768880a84417/resourceGroups/Network-Corp-rg/providers/Microsoft.Network/virtualNetworks/CorporateResources-VNET/subnets/default,WIN-C-DeveloperVM15-nic01
